,sample,row,column,WellID,donor,stimulus,LPS (ng/mL),ConA (ug/mL),PolyIC (ug/mL),PMA (ng/mL),ionomicyn (ng/mL),nELISA ID,nELISA SNR,UniProt,SampleID,SampleType,PlateID,DataAnalysisRefID,OlinkID,Assay,AssayType,Panel,Block,Count,ExtNPX,NPX,Normalization,PCNormalizedNPX,AssayQC,SampleQC,ExploreVersion,IntraCV,InterCV,SampleBlockQCWarn,SampleBlockQCFail,BlockQCFail,AssayQCWarn,NCLOD
978,11,A,11,A11,D1,LPS,2000.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,13.97516,Q15389,A11,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,4213.0,-2.3237760066986084,-0.31025025248527527,Plate control,-0.31025025248527527,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
979,13,B,1,B1,D2,unstimulated,0.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,14.89468,Q15389,B1,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,14327.0,-2.005678176879883,0.007847596891224384,Plate control,0.007847596891224384,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
980,14,B,2,B2,D2,ConA,0.0,0.5,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,12.43101,Q15389,B2,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,5885.0,-1.9979760646820068,0.01554971281439066,Plate control,0.01554971281439066,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
981,15,B,3,B3,D2,ConA,0.0,2.5,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,14.54206,Q15389,B3,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,3044.0,-1.8413463830947876,0.17217949032783508,Plate control,0.17217949032783508,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
982,16,B,4,B4,D2,ConA,0.0,12.5,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,13.72317,Q15389,B4,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,2330.0,-2.019984483718872,-0.00645854976028204,Plate control,-0.00645854976028204,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
983,17,B,5,B5,D2,ConA,0.0,25.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,12.4472,Q15389,B5,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,1818.0,-3.3499057292938232,-1.3363800048828125,Plate control,-1.3363800048828125,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
984,18,B,6,B6,D1,ConA,0.0,12.5,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,15.42156,Q15389,B6,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,1892.0,-2.109187364578247,-0.09566154330968857,Plate control,-0.09566154330968857,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
985,19,B,7,B7,D2,LPS,0.1,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,16.68781,Q15389,B7,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,3578.0,-1.8380165100097656,0.1755092740058899,Plate control,0.1755092740058899,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
986,20,B,8,B8,D2,LPS,5.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,16.31744,Q15389,B8,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,2666.0,-2.123737335205078,-0.11021139472723007,Plate control,-0.11021139472723007,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
987,21,B,9,B9,D2,LPS,100.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,17.04935,Q15389,B9,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,3474.0,-1.9092695713043213,0.10425623506307602,Plate control,0.10425623506307602,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
988,22,B,10,B10,D2,LPS,2000.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,13.24685,Q15389,B10,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,4254.0,-1.7104744911193848,0.30305129289627075,Plate control,0.30305129289627075,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
989,23,B,11,B11,D1,LPS,2000.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,13.723,Q15389,B11,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,4529.0,-1.585174798965454,0.4283509850502014,Plate control,0.4283509850502014,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
990,25,C,1,C1,D3,unstimulated,0.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,13.60536,Q15389,C1,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,22614.0,-2.076909065246582,-0.06338334083557129,Plate control,-0.06338334083557129,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
991,26,C,2,C2,D3,ConA,0.0,0.5,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,12.61934,Q15389,C2,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,5501.0,-2.1560754776000977,-0.14254966378211975,Plate control,-0.14254966378211975,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
992,27,C,3,C3,D3,ConA,0.0,2.5,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,12.69297,Q15389,C3,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,2687.0,-2.110926866531372,-0.09740108251571655,Plate control,-0.09740108251571655,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
993,28,C,4,C4,D3,ConA,0.0,12.5,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,12.41073,Q15389,C4,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,1912.0,-2.1875901222229004,-0.17406436800956726,Plate control,-0.17406436800956726,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
994,29,C,5,C5,D3,ConA,0.0,25.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,9.504527,Q15389,C5,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,1488.0,-2.4562549591064453,-0.4427292048931122,Plate control,-0.4427292048931122,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
995,30,C,6,C6,D1,ConA,0.0,12.5,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,14.67344,Q15389,C6,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,1783.0,-2.2773923873901367,-0.2638665437698364,Plate control,-0.2638665437698364,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
996,31,C,7,C7,D3,LPS,0.1,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,16.72547,Q15389,C7,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,4605.0,-2.0784971714019775,-0.06497126817703247,Plate control,-0.06497126817703247,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
997,32,C,8,C8,D3,LPS,5.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,16.85845,Q15389,C8,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,3913.0,-2.0302815437316895,-0.01675564795732498,Plate control,-0.01675564795732498,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
998,33,C,9,C9,D3,LPS,100.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,16.18262,Q15389,C9,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,4086.0,-2.037637710571289,-0.024111833423376083,Plate control,-0.024111833423376083,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
999,34,C,10,C10,D3,LPS,2000.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,15.57186,Q15389,C10,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,4261.0,-1.9449595212936401,0.06856624782085419,Plate control,0.06856624782085419,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1000,35,C,11,C11,D1,LPS,2000.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,13.07256,Q15389,C11,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,4009.0,-2.0847294330596924,-0.07120369374752045,Plate control,-0.07120369374752045,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1001,37,D,1,D1,D4,unstimulated,0.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,14.0841,Q15389,D1,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,9859.0,-2.2648563385009766,-0.25133049488067627,Plate control,-0.25133049488067627,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1002,38,D,2,D2,D4,ConA,0.0,0.5,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,11.99,Q15389,D2,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,4797.0,-2.3816659450531006,-0.36814022064208984,Plate control,-0.36814022064208984,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1003,39,D,3,D3,D4,ConA,0.0,2.5,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,14.87394,Q15389,D3,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,2217.0,-2.2961907386779785,-0.282664954662323,Plate control,-0.282664954662323,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1004,40,D,4,D4,D4,ConA,0.0,12.5,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,14.85143,Q15389,D4,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,2308.0,-2.152174949645996,-0.13864915072917938,Plate control,-0.13864915072917938,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1005,41,D,5,D5,D4,ConA,0.0,25.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,14.6321,Q15389,D5,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,1738.0,-2.2251172065734863,-0.2115914523601532,Plate control,-0.2115914523601532,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1006,42,D,6,D6,D1,ConA,0.0,12.5,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,15.39295,Q15389,D6,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,2443.0,-2.1706466674804688,-0.15712076425552368,Plate control,-0.15712076425552368,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1007,43,D,7,D7,D4,LPS,0.1,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,16.10139,Q15389,D7,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,4416.0,-1.9732918739318848,0.040234003216028214,Plate control,0.040234003216028214,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1008,44,D,8,D8,D4,LPS,5.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,15.9744,Q15389,D8,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,3132.0,-2.192875385284424,-0.17934955656528473,Plate control,-0.17934955656528473,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1009,45,D,9,D9,D4,LPS,100.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,14.29513,Q15389,D9,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,4232.0,-2.0229971408843994,-0.009471207857131958,Plate control,-0.009471207857131958,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1010,46,D,10,D10,D4,LPS,2000.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,13.50648,Q15389,D10,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,3124.0,-2.101412534713745,-0.08788665384054184,Plate control,-0.08788665384054184,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1011,47,D,11,D11,D1,LPS,2000.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,12.70028,Q15389,D11,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,2835.0,-2.0731732845306396,-0.0596475787460804,Plate control,-0.0596475787460804,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1012,49,E,1,E1,D1,unstimulated,0.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,13.7111,Q15389,E1,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,11373.0,-2.5504508018493652,-0.5369249582290649,Plate control,-0.5369249582290649,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1013,50,E,2,E2,D1,PolyIC,0.0,0.0,0.4,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,12.68083,Q15389,E2,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,10703.0,-2.4939513206481934,-0.48042553663253784,Plate control,-0.48042553663253784,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1014,51,E,3,E3,D1,PolyIC,0.0,0.0,2.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,13.96557,Q15389,E3,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,10322.0,-2.57830810546875,-0.5647823214530945,Plate control,-0.5647823214530945,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1015,52,E,4,E4,D1,PolyIC,0.0,0.0,10.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,12.57296,Q15389,E4,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,8488.0,-2.659785747528076,-0.6462599635124207,Plate control,-0.6462599635124207,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1016,53,E,5,E5,D1,PolyIC,0.0,0.0,100.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,15.62544,Q15389,E5,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,6846.0,-3.137340784072876,-1.1238148212432861,Plate control,-1.1238148212432861,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1017,54,E,6,E6,D1,PolyIC,0.0,0.0,10.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,14.0069,Q15389,E6,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,9598.0,-2.6471831798553467,-0.6336574554443359,Plate control,-0.6336574554443359,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1018,55,E,7,E7,D1,PMAi,0.0,0.0,0.0,0.1,10.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,15.30031,Q15389,E7,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,9899.0,-2.370338201522827,-0.35681238770484924,Plate control,-0.35681238770484924,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1019,56,E,8,E8,D1,PMAi,0.0,0.0,0.0,0.5,50.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,15.63297,Q15389,E8,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,4753.0,-2.3489906787872314,-0.33546486496925354,Plate control,-0.33546486496925354,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1020,57,E,9,E9,D1,PMAi,0.0,0.0,0.0,1.0,100.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,15.67017,Q15389,E9,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,4208.0,-2.2409818172454834,-0.22745589911937714,Plate control,-0.22745589911937714,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1021,58,E,10,E10,D1,PMAi,0.0,0.0,0.0,5.0,500.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,14.97361,Q15389,E10,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,3159.0,-2.2345736026763916,-0.22104789316654205,Plate control,-0.22104789316654205,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1022,59,E,11,E11,D1,PMAi,0.0,0.0,0.0,5.0,500.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,11.54953,Q15389,E11,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,3897.0,-2.2572693824768066,-0.24374344944953918,Plate control,-0.24374344944953918,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1023,61,F,1,F1,D2,unstimulated,0.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,14.95968,Q15389,F1,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,10435.0,-1.9011554718017578,0.11237038671970367,Plate control,0.11237038671970367,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1024,62,F,2,F2,D2,PolyIC,0.0,0.0,0.4,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,11.50551,Q15389,F2,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,12022.0,-2.054490089416504,-0.04096418246626854,Plate control,-0.04096418246626854,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1025,63,F,3,F3,D2,PolyIC,0.0,0.0,2.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,14.51363,Q15389,F3,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,8975.0,-2.21755051612854,-0.20402461290359497,Plate control,-0.20402461290359497,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1026,64,F,4,F4,D2,PolyIC,0.0,0.0,10.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,12.33634,Q15389,F4,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,4739.0,-2.185769557952881,-0.17224369943141937,Plate control,-0.17224369943141937,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1027,65,F,5,F5,D2,PolyIC,0.0,0.0,100.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,12.84408,Q15389,F5,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,3009.0,-2.155630350112915,-0.1421046108007431,Plate control,-0.1421046108007431,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1028,66,F,6,F6,D1,PolyIC,0.0,0.0,10.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,11.8591,Q15389,F6,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,5082.0,-2.334534168243408,-0.32100823521614075,Plate control,-0.32100823521614075,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1029,67,F,7,F7,D2,PMAi,0.0,0.0,0.0,0.1,10.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,15.96773,Q15389,F7,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,12002.0,-1.9905329942703247,0.022992875427007675,Plate control,0.022992875427007675,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1030,68,F,8,F8,D2,PMAi,0.0,0.0,0.0,0.5,50.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,17.62369,Q15389,F8,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,5202.0,-1.4267419576644897,0.5867838859558105,Plate control,0.5867838859558105,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1031,69,F,9,F9,D2,PMAi,0.0,0.0,0.0,1.0,100.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,14.05355,Q15389,F9,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,8185.0,-1.4463775157928467,0.5671483278274536,Plate control,0.5671483278274536,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
1032,70,F,10,F10,D2,PMAi,0.0,0.0,0.0,5.0,500.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,13.87829,Q15389,F10,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,6849.0,-1.3383903503417969,0.6751354336738586,Plate control,0.6751354336738586,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
